ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
603139840,"Чай черный Greenfield Redberry Crumble пирамидки (1.8г x 20шт), 36г",https://online.metro-cc.ru/products/20shtx18g-chay-chernyy-greenfield-redberry-crumble-piramidki,161,109,GREENFIELD
289691642,"Чай Riston Elite English черный с зеленым листовой, 200г",https://online.metro-cc.ru/products/200g-chay-riston-elite-english-chyornyy-s-zelenym-list,259,229,RISTON
620107,"Чай Чёрный дракон женьшеневый улун, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-zhenshenevyj-ulun,239,219,ЧЁРНЫЙ ДРАКОН
163589,"Чай Milford шиповник (2г х 20 пак), 40г",https://online.metro-cc.ru/products/art_468775,124,,MILFORD
470694,"Чай Ahmad Tea зеленый листовой с жасмином, 200г",https://online.metro-cc.ru/products/ahmad-tea-zelenyj-listovoj-s-zhasminom-200g,459,399,AHMAD TEA
127256,"Чай Newby Earl Grey черный листовой, 100г",https://online.metro-cc.ru/products/newby-chernyj-earl-grey-100g,789,,NEWBY
625337,"Чай Принцесса Нури Высокогорный черный, листовой, 250г",https://online.metro-cc.ru/products/250g-princessa-nuri-vysokogornyj-listovoj,214,159,ПРИНЦЕССА НУРИ
203574,"Чай Maitre de The Кения листовой, 100г",https://online.metro-cc.ru/products/maitre-keniya-100g,379,,MAITRE DE THE
225649,"RIOBA Чай зеленый с жасмином для заваривания в чайнике (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-zelenyj-s-zhasminom-dlya-zavarivaniya-v-chajnike-20x5g,389,,RIOBA
615905,"Напиток чайный Eastford Мята душистая (1г х 12шт), 12г",https://online.metro-cc.ru/products/12g-napitok-eastford-myata-dushistaya,209,199,EASTFORD
136734,"Чай Milford ромашка (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/milford-travyanoj-romashka-20-15g,124,,MILFORD
259419,"Чай Basilur Остров зеленый листовой, 100г",https://online.metro-cc.ru/products/basilur-zelenyj-ostrov-cejlon-100g,379,,BASILUR
538244,"Чай Green Panda Молочный туман зеленый оолонг крупнолистовой, 100г",https://online.metro-cc.ru/products/art_60429,264,,GREEN PANDA
86966,"Чай Ahmad Tea Green Tea зеленый (2г х 100шт), 200г",https://online.metro-cc.ru/products/ahmad-tea-zelenyj-green-tea-100-2g,519,359,AHMAD TEA
313874885,"Чай Азерчай черный с чабрецом (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-azerchay-chyornyy-s-chabretsom-paketirovannyy,379,,АЗЕРЧАЙ
85964,"Чай Ahmad Tea English Tea №1 черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-englishtea-1-100-pak,539,359,AHMAD TEA
623847,"Напиток чайный Tipson Immune booster травяной (1.3г x 20шт), 26г",https://online.metro-cc.ru/products/tipson-immune-booster-travyanoj-20-paketikov,369,,TIPSON
614750,"Чай Алтайвита Солнечный день травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-solnechyj-den,179,,АЛТАЙВИТА
120011,"Чай Принцесса Канди цейлонский черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/princessa-kandi-chernyj-cejlon-100-2g,173,159,ПРИНЦЕССА КАНДИ
313874890,"Чай Азерчай черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-azerchay-chyornyy-listovoy,329,,АЗЕРЧАЙ
506110,"Чай Greenfield Royal Earl Grey с бергамотом черный (2г x 20шт), 40г",https://online.metro-cc.ru/products/greenfield-chernyj-s-bergamotom-royal-earl-grey-v-sashe-20-piramidok,193,109,GREENFIELD
203489,"Чай Майский Корона Российской Империи черный крупнолистовой, 100г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100g,123,119,МАЙСКИЙ
519720,"Чай Richard Royal Ceylon черный, 90г",https://online.metro-cc.ru/products/chernyj-richard-royal-ceylon-90g,189,119,RICHARD
